"United Textile Mills Pvt. Ltd. Unit - I I -  From Date:- 01/04/2025 To     Date:- 31/03/2026
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinod,Vinod1,Register,Entno,Pay Date,Compy,Entdt,Billno,Billdt,Accled_Name,Party_Name,Urd,Gstno,Statecode,Statename,Hsn_Code,Pcs,Qty,Dis_Amt,Itm_Amt,Assamt,Gstrate,Cgst_Rate,Cgstamt,Sgst_Rate,Sgstamt,Igst_Rate,Igstamt,Netamt,Rcm,Tdsamt,Rate,Taxname,Bf45amt,Bf49amt,Sabid,Unitname,Btypecode,Brokername,Cityname,Biltag,Pursal,Menuname,Typegst,Monthnames,Ycode,Panno,Exporttype,Typecode,Mrgregister
ram,ram1,Garment Purchase,Gp/2526/000025,23-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,30-11-2025,HSPLLP/2526/0760,15-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"1,010.00","1,010.00",0.00,"1,30,593.00","1,30,593.00",5.00,0.00,0.00,0.00,0.00,5.00,"6,529.65","1,37,123.00",N,-131.00,0.10,Tds On Purchase,0.00,-131.00,2624758585,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000026,05-01-2026,United Textile Mills Pvt. Ltd. Unit - I I,30-11-2025,HSPLLP/2526/0762,22-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"3,258.00","3,258.00",0.00,"4,36,572.00","4,36,572.00",5.00,0.00,0.00,0.00,0.00,5.00,"21,828.60","4,58,401.00",N,-437.00,0.10,Tds On Purchase,0.00,-437.00,2624758586,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,November,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000027,12-01-2026,United Textile Mills Pvt. Ltd. Unit - I I,12-12-2025,HSPLLP/2526/0764,08-12-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"3,105.00","3,105.00",0.00,"4,16,225.25","4,16,225.25",5.00,0.00,0.00,0.00,0.00,5.00,"20,811.26","4,37,037.00",N,-416.00,0.10,Tds On Purchase,0.00,-416.00,2624774659,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,December,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000028,24-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,16-12-2025,HSPLLP/2526/0795,16-12-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"3,159.00","3,159.00",0.00,"3,84,134.40","3,84,134.40",5.00,0.00,0.00,0.00,0.00,5.00,"19,206.72","4,03,341.00",N,-384.00,0.10,Tds On Purchase,0.00,-384.00,2624774920,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,December,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000029,29-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,17-12-2025,HSPLLP/2526/0761,15-11-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"1,050.00","1,050.00",0.00,"1,35,765.00","1,35,765.00",5.00,0.00,0.00,0.00,0.00,5.00,"6,788.25","1,42,553.00",N,-136.00,0.10,Tds On Purchase,0.00,-136.00,2624774927,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,December,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000030,12-01-2026,United Textile Mills Pvt. Ltd. Unit - I I,17-12-2025,HSPLLP/2526/0772,11-12-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,461.00","2,461.00",0.00,"3,29,897.05","3,29,897.05",5.00,0.00,0.00,0.00,0.00,5.00,"16,494.85","3,46,392.00",N,-330.00,0.10,Tds On Purchase,0.00,-330.00,2624774928,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,December,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000031,27-01-2026,United Textile Mills Pvt. Ltd. Unit - I I,23-01-2026,HSPLLP/2526/0765,09-12-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"4,973.00","4,973.00",0.00,"6,04,716.80","6,04,716.80",5.00,0.00,0.00,0.00,0.00,5.00,"30,235.84","6,34,953.00",N,-605.00,0.10,Tds On Purchase,0.00,-605.00,2624793620,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,January,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000032,23-02-2026,United Textile Mills Pvt. Ltd. Unit - I I,31-01-2026,HSPLLP/2526/0884,15-01-2026,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"4,782.00","4,782.00",0.00,"5,74,578.40","5,74,578.40",5.00,0.00,0.00,0.00,0.00,5.00,"28,728.92","6,03,307.50",N,-898.00,0.10,Tds On Purchase,0.00,-574.63,2624794286,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,January,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000032,23-02-2026,United Textile Mills Pvt. Ltd. Unit - I I,31-01-2026,HSPLLP/2526/0884,15-01-2026,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,62064000,"2,500.00","2,500.00",0.00,"3,23,250.00","3,23,250.00",5.00,0.00,0.00,0.00,0.00,5.00,"16,162.50","3,39,412.50",N,-898.00,0.10,Tds On Purchase,0.00,-323.37,2624794286,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,January,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000033,17-02-2026,United Textile Mills Pvt. Ltd. Unit - I I,31-01-2026,HSPLLP/2526/0869,08-01-2026,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,754.00","2,754.00",0.00,"3,61,324.80","3,61,324.80",5.00,0.00,0.00,0.00,0.00,5.00,"18,066.24","3,79,391.00",N,-361.00,0.10,Tds On Purchase,0.00,-361.00,2624794432,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,January,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000034,20-03-2026,United Textile Mills Pvt. Ltd. Unit - I I,31-01-2026,HSPLLP/2526/0894,29-01-2026,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"9,405.00","9,405.00",0.00,"11,51,266.50","11,51,266.50",5.00,0.00,0.00,0.00,0.00,5.00,"57,563.33","12,08,830.00",N,"-1,151.00",0.10,Tds On Purchase,0.00,"-1,151.00",2624794433,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,January,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000035,30-03-2026,United Textile Mills Pvt. Ltd. Unit - I I,04-02-2026,HSPLLP/2526/0918,03-02-2026,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"8,320.00","8,320.00",0.00,"14,12,797.60","14,12,797.60",5.00,0.00,0.00,0.00,0.00,5.00,"70,639.88","14,83,437.00",N,"-1,413.00",0.10,Tds On Purchase,0.00,"-1,413.00",2624794434,Nos,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,February,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000036,,United Textile Mills Pvt. Ltd. Unit - I I,20-03-2026,HSPLLP/2526/1013,20-03-2026,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,62041200,"1,956.00","1,956.00",0.00,"4,40,100.00","4,40,100.00",5.00,0.00,0.00,0.00,0.00,5.00,"22,005.00","4,62,105.00",N,-440.00,0.10,Tds On Purchase,0.00,-440.00,26247149403,Mtr,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,March,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
